"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn26201816","narrowPeak_IMR90_CTCF.500bp.pt","1","application/octet-stream","24772119","3390517","1631775537449","3390517","1631775537730","syn26201774","https://www.synapse.org/#!Synapse:syn26201816.1","71f3d9b0a0d63977fee5b2c510119333"
"syn26201836","narrowPeak_NHEK_CTCF.500bp.pt","1","application/octet-stream","24772119","3390517","1631775761925","3390517","1631775762221","syn26201779","https://www.synapse.org/#!Synapse:syn26201836.1","ef02d7affd9119fe20a9eed55bfb91ce"
"syn26201821","bigWig_NHEK_H3K4me1.500bp.pt","1","application/octet-stream","24773081","3390517","1631775676973","3390517","1631775677271","syn26201779","https://www.synapse.org/#!Synapse:syn26201821.1","316cd71d058f75f2983507bd9fbdace0"
"syn26201822","bigWig_NHEK_H3K4me3.500bp.pt","1","application/octet-stream","24773081","3390517","1631775705438","3390517","1631775705728","syn26201779","https://www.synapse.org/#!Synapse:syn26201822.1","c1f799900145f3bf2042f4ad3ad36389"
"syn26201814","bigWig_IMR90_H3K9me3.500bp.pt","1","application/octet-stream","24773081","3390517","1631775511953","3390517","1631775512249","syn26201774","https://www.synapse.org/#!Synapse:syn26201814.1","0967ff58cfe627062b037e379f628635"
"syn26201808","bigWig_IMR90_DNase.500bp.pt","1","application/octet-stream","24773145","3390517","1631775350486","3390517","1631775350774","syn26201774","https://www.synapse.org/#!Synapse:syn26201808.1","c51867689b8ef5f341e50f21d341b1ed"
"syn26201817","bigWig_NHEK_DNase.500bp.pt","1","application/octet-stream","24773145","3390517","1631775563033","3390517","1631775563315","syn26201779","https://www.synapse.org/#!Synapse:syn26201817.1","bc4a774cc491bb7bd832897750d7c88c"
"syn26201809","bigWig_IMR90_H3K27ac.500bp.pt","1","application/octet-stream","24773145","3390517","1631775379598","3390517","1631775379888","syn26201774","https://www.synapse.org/#!Synapse:syn26201809.1","7dbd0f6e4647a7ed32c3c9113692a304"
"syn26201818","bigWig_NHEK_H3K27ac.500bp.pt","1","application/octet-stream","24773145","3390517","1631775593967","3390517","1631775594253","syn26201779","https://www.synapse.org/#!Synapse:syn26201818.1","9ef3ea7f5b4916b711ebb121c9d9a14a"
"syn26201810","bigWig_IMR90_H3K27me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775405198","3390517","1631775405499","syn26201774","https://www.synapse.org/#!Synapse:syn26201810.1","50b4c129e520ac7156bac0b349cf5306"
"syn26201819","bigWig_NHEK_H3K27me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775619995","3390517","1631775620328","syn26201779","https://www.synapse.org/#!Synapse:syn26201819.1","66e09122efd2f2fef53485c98d90df38"
"syn26201811","bigWig_IMR90_H3K36me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775431375","3390517","1631775431676","syn26201774","https://www.synapse.org/#!Synapse:syn26201811.1","8bb92ca4d304766a9f8d684c0f4f71b4"
"syn26201820","bigWig_NHEK_H3K36me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775651177","3390517","1631775651464","syn26201779","https://www.synapse.org/#!Synapse:syn26201820.1","ac73fa9e3075514ebf72c0fa797c64e8"
"syn26201812","bigWig_IMR90_H3K4me1.500bp.pt","1","application/octet-stream","24773145","3390517","1631775458205","3390517","1631775458491","syn26201774","https://www.synapse.org/#!Synapse:syn26201812.1","4d18b7d47c764ffa11204a051779f235"
"syn26201813","bigWig_IMR90_H3K4me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775486216","3390517","1631775486506","syn26201774","https://www.synapse.org/#!Synapse:syn26201813.1","cf677f991638ebe3bd15fd8084623d6a"
"syn26201823","bigWig_NHEK_H3K9me3.500bp.pt","1","application/octet-stream","24773145","3390517","1631775735396","3390517","1631775735689","syn26201779","https://www.synapse.org/#!Synapse:syn26201823.1","e1f1622979468105c7a82f9ad360ecbf"
